Day ,Month,Year,Case type,No,Day,Month.1,Year.1,Day.1,Month.2,Year.2,Outcome,Day.2,Month.3,Year.3,(Enter free text),Audit Date,Registered,Date_Last_in_Court,Code/Year,Age of File,age_category
31,5,2024,RRC,148,8,2,2022,9,3,2022,Closed,,,,Closed,2024-05-31,2022-02-08,2022-03-09,148/2022,2.308055606891312,1 to 3
31,5,2024,RRC,150,8,2,2022,14,11,2022,Active- plantiff to take next date in court ,,,,Recommended for dismissal,2024-05-31,2022-02-08,2022-11-14,150/2022,2.308055606891312,1 to 3
31,5,2024,RRC,153,8,2,2022,10,2,2022,Activehearing within 30 days ,,,,Recommended for dismissal,2024-05-31,2022-02-08,2022-02-10,153/2022,2.308055606891312,1 to 3
31,5,2024,RRC,96,27,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-03-01,96/2022,2.340910490975174,1 to 3
31,5,2024,RRC,97,27,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-03-01,97/2022,2.340910490975174,1 to 3
31,5,2024,RRC,100,28,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-28,2022-03-01,100/2022,2.3381725839681855,1 to 3
31,5,2024,RRC,101,27,1,2022,14,9,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-09-14,101/2022,2.340910490975174,1 to 3
31,5,2024,RRC,107,31,1,2022,5,5,2022,Closed,,,,Recommended for closure CTS,2024-05-31,2022-01-31,2022-05-05,107/2022,2.32995886294722,1 to 3
31,5,2024,RRC,104,31,1,2022,2,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-31,2022-03-02,104/2022,2.32995886294722,1 to 3
31,5,2024,RRC,108,31,1,2022,23,3,2022,Active,,,,Active,2024-05-31,2022-01-31,2022-03-23,108/2022,2.32995886294722,1 to 3
31,5,2024,RRC,109,28,1,2022,1,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-28,2022-02-01,109/2022,2.3381725839681855,1 to 3
31,5,2024,RRC,111,31,1,2022,4,4,2022,Closed,,,,Recommended for closure CTS,2024-05-31,2022-01-31,2022-04-04,111/2022,2.32995886294722,1 to 3
31,5,2024,RRC,113,1,2,2022,18,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-03-18,113/2022,2.3272209559402315,1 to 3
31,5,2024,RRC,114,1,2,2022,2,2,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-02-02,114/2022,2.3272209559402315,1 to 3
31,5,2024,RRC,116,2,2,2022,7,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-07,116/2022,2.324483048933243,1 to 3
31,5,2024,RRC,117,1,2,2022,2,2,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-02-02,117/2022,2.3272209559402315,1 to 3
31,5,2024,RRC,118,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,118/2022,2.324483048933243,1 to 3
31,5,2024,RRC,119,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,119/2022,2.324483048933243,1 to 3
31,5,2024,RRC,122,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,122/2022,2.324483048933243,1 to 3
31,5,2024,RRC,123,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,123/2022,2.324483048933243,1 to 3
