Code/Year,Registered,Audit Date,Age of File
202/2007,2007-09-06,2024-05-31,6112.0
259/2007,2007-04-14,2024-05-31,6257.0
212/2007,2007-09-20,2024-05-31,6098.0
219/2007,2007-07-25,2024-05-31,6155.0
218/2007,2007-09-25,2024-05-31,6093.0
217/2007,2007-09-21,2024-05-31,6097.0
213/2007,2007-09-20,2024-05-31,6098.0
214/2007,2007-09-20,2024-05-31,6098.0
215/2007,2007-09-20,2024-05-31,6098.0
203/2007,2007-09-13,2024-05-31,6105.0
195/2007,2007-08-27,2024-05-31,6122.0
190/2007,2007-10-03,2024-05-31,6085.0
232/2007,2007-10-16,2024-05-31,6072.0
254/2007,2007-11-27,2024-05-31,6030.0
254A/2007,2007-12-04,2024-05-31,6023.0
255/2007,2007-11-29,2024-05-31,6028.0
271/2007,2007-12-14,2024-05-31,6013.0
125/2007,2007-05-11,2024-05-31,6230.0
25/2007,2007-02-02,2024-05-31,6328.0
82/2007,2007-07-11,2024-05-31,6169.0
E1433/2023,2023-09-25,2024-05-31,249.0
E1435/2023,2023-09-26,2024-05-31,248.0
E1436/2023,2023-09-27,2024-05-31,247.0
E1438/2023,2023-09-26,2024-05-31,248.0
E1434/2023,2023-09-25,2024-05-31,249.0
E1439/2023,2023-09-26,2024-05-31,248.0
E1442/2023,2023-09-27,2024-05-31,247.0
E1443/2023,2023-09-26,2024-05-31,248.0
E1444/2023,2023-09-27,2024-05-31,247.0
E1446/2023,2023-09-26,2024-05-31,248.0
E1449/2023,2023-08-31,2024-05-31,274.0
E1456/2023,2023-09-29,2024-05-31,245.0
E1458/2023,2023-09-29,2024-05-31,245.0
E1459/2023,2023-09-29,2024-05-31,245.0
E1460/2023,2023-10-02,2024-05-31,242.0
E1462/2023,2023-10-02,2024-05-31,242.0
E1463/2023,2023-10-03,2024-05-31,241.0
E1465/2023,2023-10-03,2024-05-31,241.0
E1467/2023,2023-10-03,2024-05-31,241.0
E1429/2023,2023-09-25,2024-05-31,249.0
E1540/2023,2023-10-18,2024-05-31,226.0
E1542/2023,2023-10-18,2024-05-31,226.0
E1545/2023,2023-12-13,2024-05-31,170.0
E1392/2023,2023-09-15,2024-05-31,259.0
E1393/2023,2023-09-15,2024-05-31,259.0
E1541/2023,2023-10-16,2024-05-31,228.0
E1394/2023,2023-09-15,2024-05-31,259.0
E1396/2023,2023-09-18,2024-05-31,256.0
E1430/2023,2023-09-25,2024-05-31,249.0
E1431/2023,2023-09-25,2024-05-31,249.0
E1875/2023,2023-12-14,2024-05-31,169.0
E1876/2023,2023-12-14,2024-05-31,169.0
E1877/2023,2023-12-14,2024-05-31,169.0
E1878/2023,2023-12-14,2024-05-31,169.0
E1882/2023,2023-12-14,2024-05-31,169.0
E1884/2023,2023-12-15,2024-05-31,168.0
E1891/2023,2023-12-15,2024-05-31,168.0
E1889/2023,2023-12-15,2024-05-31,168.0
E1888/2023,2023-12-15,2024-05-31,168.0
E1892/2023,2023-12-18,2024-05-31,165.0
E1894/2023,2023-12-18,2024-05-31,165.0
E1895/2023,2023-12-18,2024-05-31,165.0
E1896/2023,2023-12-18,2024-05-31,165.0
E1897/2023,2023-12-18,2024-05-31,165.0
E1898/2023,2023-12-18,2024-05-31,165.0
1899/2023,2023-12-18,2024-05-31,165.0
1904/2023,2023-12-18,2024-05-31,165.0
1908/2023,2023-12-18,2024-05-31,165.0
1910/2023,2023-12-19,2024-05-31,164.0
1911/2023,2023-12-19,2024-05-31,164.0
1912/2023,2023-12-19,2024-05-31,164.0
1913/2023,2023-12-20,2024-05-31,163.0
1917/2023,2023-12-19,2024-05-31,164.0
1920/2023,2023-12-19,2024-05-31,164.0
E1915/2023,2023-12-19,2024-05-31,164.0
E1919/2023,2023-12-19,2024-05-31,164.0
E1927/2023,2023-12-21,2024-05-31,162.0
E1926/2023,2023-12-21,2024-05-31,162.0
E1928/2023,2023-12-21,2024-05-31,162.0
E1929/2023,2023-12-21,2024-05-31,162.0
1931/2023,2023-12-21,2024-05-31,162.0
1932/2023,2023-12-21,2024-05-31,162.0
1937/2023,2023-12-21,2024-05-31,162.0
1940/2023,2023-12-21,2024-05-31,162.0
1944/2023,2023-12-22,2024-05-31,161.0
1945/2023,2023-12-22,2024-05-31,161.0
1947/2023,2023-12-27,2024-05-31,156.0
1950/2023,2023-12-27,2024-05-31,156.0
1951/2023,2023-12-28,2024-05-31,155.0
1956/2023,2023-12-29,2024-05-31,154.0
1958/2023,2023-12-29,2024-05-31,154.0
148/2022,2022-02-08,2024-05-31,843.0
150/2022,2022-02-08,2024-05-31,843.0
153/2022,2022-02-08,2024-05-31,843.0
96/2022,2022-01-27,2024-05-31,855.0
97/2022,2022-01-27,2024-05-31,855.0
100/2022,2022-01-28,2024-05-31,854.0
101/2022,2022-01-27,2024-05-31,855.0
107/2022,2022-01-31,2024-05-31,851.0
104/2022,2022-01-31,2024-05-31,851.0
108/2022,2022-01-31,2024-05-31,851.0
109/2022,2022-01-28,2024-05-31,854.0
111/2022,2022-01-31,2024-05-31,851.0
113/2022,2022-02-01,2024-05-31,850.0
114/2022,2022-02-01,2024-05-31,850.0
116/2022,2022-02-02,2024-05-31,849.0
117/2022,2022-02-01,2024-05-31,850.0
118/2022,2022-02-02,2024-05-31,849.0
119/2022,2022-02-02,2024-05-31,849.0
122/2022,2022-02-02,2024-05-31,849.0
123/2022,2022-02-02,2024-05-31,849.0
124/2022,2022-02-02,2024-05-31,849.0
125/2022,2022-02-03,2024-05-31,848.0
126/2022,2022-02-02,2024-05-31,849.0
127/2022,2022-02-03,2024-05-31,848.0
130/2022,2022-02-03,2024-05-31,848.0
131/2022,2022-02-04,2024-05-31,847.0
132/2022,2022-02-04,2024-05-31,847.0
136/2022,2022-02-04,2024-05-31,847.0
146/2022,2022-02-08,2024-05-31,843.0
E021/2022,2022-01-10,2024-05-31,872.0
E022/2022,2022-01-10,2024-05-31,872.0
E056 /2022,2022-01-14,2024-05-31,868.0
E057/2022,2022-01-17,2024-05-31,865.0
E058/2022,2022-01-17,2024-05-31,865.0
E059/2022,2022-01-17,2024-05-31,865.0
E061/2022,2022-01-17,2024-05-31,865.0
E028/2022,2022-01-11,2024-05-31,871.0
E029/2022,2022-01-11,2024-05-31,871.0
E289/2022,2022-03-10,2024-05-31,813.0
E290/2022,2022-03-11,2024-05-31,812.0
E292/2022,2022-03-14,2024-05-31,809.0
E249/2022,2022-03-02,2024-05-31,821.0
E250/2022,2022-03-02,2024-05-31,821.0
E251/2022,2022-03-03,2024-05-31,820.0
E252/2022,2022-03-03,2024-05-31,820.0
E254/2022,2022-03-03,2024-05-31,820.0
E258/2022,2022-03-04,2024-05-31,819.0
E259/2022,2022-03-04,2024-05-31,819.0
E260/2022,2022-03-04,2024-05-31,819.0
E261/2022,2022-03-04,2024-05-31,819.0
E262/2022,2022-03-05,2024-05-31,818.0
E263/2022,2022-03-07,2024-05-31,816.0
E265/2022,2022-03-07,2024-05-31,816.0
E266/2022,2022-03-07,2024-05-31,816.0
E269/2022,2022-03-08,2024-05-31,815.0
E270/2022,2022-03-08,2024-05-31,815.0
E271/2022,2022-03-08,2024-05-31,815.0
E273/2022,2022-03-08,2024-05-31,815.0
E274/2022,2022-03-08,2024-05-31,815.0
E275/2022,2022-03-08,2024-05-31,815.0
E235/2022,2022-02-28,2024-05-31,823.0
E236/2022,2022-02-28,2024-05-31,823.0
E238/2022,2022-03-01,2024-05-31,822.0
E239/2022,2022-03-01,2024-05-31,822.0
E240/2022,2022-03-01,2024-05-31,822.0
E277/2022,2022-03-08,2024-05-31,815.0
E278/2022,2022-03-09,2024-05-31,814.0
E280/2022,2022-03-09,2024-05-31,814.0
E282/2022,2022-03-09,2024-05-31,814.0
24/2019,2019-01-08,2024-05-31,1970.0
26/2019,2019-01-08,2024-05-31,1970.0
28/2019,2019-01-08,2024-05-31,1970.0
29/2019,2019-01-08,2024-05-31,1970.0
30/2019,2019-01-08,2024-05-31,1970.0
33/2019,2019-01-09,2024-05-31,1969.0
34/2019,2019-01-09,2024-05-31,1969.0
35/2019,2019-01-09,2024-05-31,1969.0
37/2019,2019-01-10,2024-05-31,1968.0
40/2019,2019-01-10,2024-05-31,1968.0
42/2019,2019-01-10,2024-05-31,1968.0
43/2019,2019-01-10,2024-05-31,1968.0
44/2019,2019-01-10,2024-05-31,1968.0
45/2019,2019-01-11,2024-05-31,1967.0
47/2019,2019-01-10,2024-05-31,1968.0
48/2019,2019-01-10,2024-05-31,1968.0
49/2019,2019-01-11,2024-05-31,1967.0
50/2019,2019-01-11,2024-05-31,1967.0
51/2019,2019-01-11,2024-05-31,1967.0
52/2019,2019-01-11,2024-05-31,1967.0
54/2019,2019-01-11,2024-05-31,1967.0
57/2019,2019-01-11,2024-05-31,1967.0
58/2019,2019-01-15,2024-05-31,1963.0
62/2019,2019-01-15,2024-05-31,1963.0
63/2019,2019-01-15,2024-05-31,1963.0
65/2019,2019-01-15,2024-05-31,1963.0
66/2019,2019-01-15,2024-05-31,1963.0
67/2019,2019-01-15,2024-05-31,1963.0
91/2019,2019-01-17,2024-05-31,1961.0
92/2019,2019-01-17,2024-05-31,1961.0
93/2019,2019-01-18,2024-05-31,1960.0
94/2019,2019-01-17,2024-05-31,1961.0
95/2019,2019-01-24,2024-05-31,1954.0
96/2019,2019-01-18,2024-05-31,1960.0
97/2019,2019-01-18,2024-05-31,1960.0
98/2019,2019-01-18,2024-05-31,1960.0
99/2019,2019-06-25,2024-05-31,1802.0
100/2019,2019-01-18,2024-05-31,1960.0
101/2019,2019-01-21,2024-05-31,1957.0
102/2019,2019-01-21,2024-05-31,1957.0
103/2019,2019-01-21,2024-05-31,1957.0
104/2019,2019-01-21,2024-05-31,1957.0
105/2019,2019-02-07,2024-05-31,1940.0
107/2019,2019-01-21,2024-05-31,1957.0
108/2019,2019-01-21,2024-05-31,1957.0
109/2019,2019-01-22,2024-05-31,1956.0
110/2019,2019-01-22,2024-05-31,1956.0
111/2019,2019-01-21,2024-05-31,1957.0
113/2019,2019-01-22,2024-05-31,1956.0
115/2019,2019-01-22,2024-05-31,1956.0
E1708/2023,2023-11-16,2024-05-31,197.0
E1710/2023,2023-11-16,2024-05-31,197.0
E1711/2023,2023-11-16,2024-05-31,197.0
E1714/2023,2023-11-16,2024-05-31,197.0
E1717/2023,2023-11-16,2024-05-31,197.0
E1699/2023,2023-11-14,2024-05-31,199.0
E1698/2023,2023-11-14,2024-05-31,199.0
E1696/2023,2023-11-14,2024-05-31,199.0
E1697/2023,2023-11-08,2024-05-31,205.0
E1701/2023,2023-11-14,2024-05-31,199.0
E1703/2023,2023-11-14,2024-05-31,199.0
E1707/2023,2023-11-15,2024-05-31,198.0
E1721/2023,2023-11-17,2024-05-31,196.0
E1745/2023,2023-11-22,2024-05-31,191.0
E1756/2023,2023-11-23,2024-05-31,190.0
E1761/2023,2023-11-24,2024-05-31,189.0
E1751/2023,2023-11-23,2024-05-31,190.0
E1752/2023,2023-11-23,2024-05-31,190.0
E1753/2023,2023-11-23,2024-05-31,190.0
E1432/2023,2023-09-25,2024-05-31,249.0
E1435/2023,2023-09-26,2024-05-31,248.0
E1436/2023,2023-09-27,2024-05-31,247.0
E1438/2023,2023-09-26,2024-05-31,248.0
E1434/2023,2023-09-25,2024-05-31,249.0
E1439/2023,2023-09-26,2024-05-31,248.0
E1442/2023,2023-09-27,2024-05-31,247.0
E1443/2023,2023-09-26,2024-05-31,248.0
E1444/2023,2023-09-27,2024-05-31,247.0
E1446/2023,2023-09-26,2024-05-31,248.0
E1449/2023,2023-08-31,2024-05-31,274.0
E1456/2023,2023-09-29,2024-05-31,245.0
E1458/2023,2023-09-29,2024-05-31,245.0
E1459/2023,2023-09-29,2024-05-31,245.0
E1460/2023,2023-10-02,2024-05-31,242.0
E1462/2023,2023-10-02,2024-05-31,242.0
E1463/2023,2023-10-03,2024-05-31,241.0
E1465/2023,2023-10-03,2024-05-31,241.0
E1467/2023,2023-10-03,2024-05-31,241.0
E1429/2023,2023-09-25,2024-05-31,249.0
E1540/2023,2023-10-18,2024-05-31,226.0
E1542/2023,2023-10-18,2024-05-31,226.0
E1545/2023,2023-12-13,2024-05-31,170.0
E1392/2023,2023-09-15,2024-05-31,259.0
E1393/2023,2023-09-15,2024-05-31,259.0
E1541/2023,2023-10-16,2024-05-31,228.0
E1394/2023,2023-09-15,2024-05-31,259.0
E1396/2023,2023-09-18,2024-05-31,256.0
E1430/2023,2023-09-25,2024-05-31,249.0
E1431/2023,2023-09-25,2024-05-31,249.0
E1875/2023,2023-12-14,2024-05-31,169.0
E1876/2023,2023-12-14,2024-05-31,169.0
E1877/2023,2023-12-14,2024-05-31,169.0
E1878/2023,2023-12-14,2024-05-31,169.0
E1882/2023,2023-12-14,2024-05-31,169.0
E1884/2023,2023-12-15,2024-05-31,168.0
E1891/2023,2023-12-15,2024-05-31,168.0
E1889/2023,2023-12-15,2024-05-31,168.0
E1888/2023,2023-12-15,2024-05-31,168.0
E1892/2023,2023-12-18,2024-05-31,165.0
E1894/2023,2023-12-18,2024-05-31,165.0
E1895/2023,2023-12-18,2024-05-31,165.0
E1896/2023,2023-12-18,2024-05-31,165.0
E1897/2023,2023-12-18,2024-05-31,165.0
E1898/2023,2023-12-18,2024-05-31,165.0
1899/2023,2023-12-18,2024-05-31,165.0
1904/2023,2023-12-18,2024-05-31,165.0
1908/2023,2023-12-18,2024-05-31,165.0
1910/2023,2023-12-19,2024-05-31,164.0
1911/2023,2023-12-19,2024-05-31,164.0
1912/2023,2023-12-19,2024-05-31,164.0
1913/2023,2023-12-20,2024-05-31,163.0
1917/2023,2023-12-19,2024-05-31,164.0
1920/2023,2023-12-19,2024-05-31,164.0
E1915/2023,2023-12-19,2024-05-31,164.0
E1919/2023,2023-12-19,2024-05-31,164.0
E1927/2023,2023-12-21,2024-05-31,162.0
E1926/2023,2023-12-21,2024-05-31,162.0
E1928/2023,2023-12-21,2024-05-31,162.0
E1929/2023,2023-12-21,2024-05-31,162.0
1931/2023,2023-12-21,2024-05-31,162.0
1932/2023,2023-12-21,2024-05-31,162.0
1937/2023,2023-12-21,2024-05-31,162.0
1940/2023,2023-12-21,2024-05-31,162.0
1944/2023,2023-12-22,2024-05-31,161.0
1945/2023,2023-12-22,2024-05-31,161.0
1947/2023,2023-12-27,2024-05-31,156.0
1950/2023,2023-12-27,2024-05-31,156.0
1956/2023,2023-12-29,2024-05-31,154.0
1958/2023,2023-12-29,2024-05-31,154.0
148/2022,2022-02-08,2024-05-31,843.0
150/2022,2022-02-08,2024-05-31,843.0
153/2022,2022-02-08,2024-05-31,843.0
96/2022,2022-01-27,2024-05-31,855.0
97/2022,2022-01-27,2024-05-31,855.0
100/2022,2022-01-28,2024-05-31,854.0
101/2022,2022-01-27,2024-05-31,855.0
107/2022,2022-01-31,2024-05-31,851.0
104/2022,2022-01-31,2024-05-31,851.0
108/2022,2022-01-31,2024-05-31,851.0
109/2022,2022-01-28,2024-05-31,854.0
111/2022,2022-01-31,2024-05-31,851.0
113/2022,2022-02-01,2024-05-31,850.0
114/2022,2022-02-01,2024-05-31,850.0
116/2022,2022-02-02,2024-05-31,849.0
117/2022,2022-02-01,2024-05-31,850.0
118/2022,2022-02-02,2024-05-31,849.0
119/2022,2022-02-02,2024-05-31,849.0
122/2022,2022-02-02,2024-05-31,849.0
123/2022,2022-02-02,2024-05-31,849.0
124/2022,2022-02-02,2024-05-31,849.0
125/2022,2022-02-03,2024-05-31,848.0
126/2022,2022-02-02,2024-05-31,849.0
127/2022,2022-02-03,2024-05-31,848.0
130/2022,2022-02-03,2024-05-31,848.0
131/2022,2022-02-04,2024-05-31,847.0
132/2022,2022-02-04,2024-05-31,847.0
136/2022,2022-02-04,2024-05-31,847.0
146/2022,2022-02-08,2024-05-31,843.0
E022/2022,2022-01-10,2024-05-31,872.0
E056 /2022,2022-01-14,2024-05-31,868.0
E057/2022,2022-01-17,2024-05-31,865.0
E058/2022,2022-01-17,2024-05-31,865.0
E059/2022,2022-01-17,2024-05-31,865.0
E061/2022,2022-01-17,2024-05-31,865.0
E028/2022,2022-01-11,2024-05-31,871.0
E029/2022,2022-01-11,2024-05-31,871.0
E289/2022,2022-03-10,2024-05-31,813.0
E290/2022,2022-03-11,2024-05-31,812.0
E292/2022,2022-03-14,2024-05-31,809.0
E249/2022,2022-03-02,2024-05-31,821.0
E250/2022,2022-03-02,2024-05-31,821.0
E251/2022,2022-03-03,2024-05-31,820.0
E252/2022,2022-03-03,2024-05-31,820.0
E254/2022,2022-03-03,2024-05-31,820.0
E258/2022,2022-03-04,2024-05-31,819.0
E259/2022,2022-03-04,2024-05-31,819.0
E260/2022,2022-03-04,2024-05-31,819.0
E261/2022,2022-03-04,2024-05-31,819.0
E262/2022,2022-03-05,2024-05-31,818.0
E263/2022,2022-03-07,2024-05-31,816.0
E265/2022,2022-03-07,2024-05-31,816.0
E266/2022,2022-03-07,2024-05-31,816.0
E269/2022,2022-03-08,2024-05-31,815.0
E270/2022,2022-03-08,2024-05-31,815.0
E271/2022,2022-03-08,2024-05-31,815.0
E273/2022,2022-03-08,2024-05-31,815.0
E274/2022,2022-03-08,2024-05-31,815.0
E275/2022,2022-03-08,2024-05-31,815.0
E235/2022,2022-02-28,2024-05-31,823.0
E236/2022,2022-02-28,2024-05-31,823.0
E238/2022,2022-03-01,2024-05-31,822.0
E239/2022,2022-03-01,2024-05-31,822.0
E240/2022,2022-03-01,2024-05-31,822.0
E277/2022,2022-03-08,2024-05-31,815.0
E278/2022,2022-03-09,2024-05-31,814.0
E280/2022,2022-03-09,2024-05-31,814.0
E282/2022,2022-03-09,2024-05-31,814.0
628/2021,2021-10-14,2024-05-31,960.0
600/2021,2021-09-29,2024-05-31,975.0
599/2021,2021-09-29,2024-05-31,975.0
601/2021,2021-09-29,2024-05-31,975.0
603/2021,2021-09-30,2024-05-31,974.0
605/2021,2021-09-30,2024-05-31,974.0
606/2021,2021-10-01,2024-05-31,973.0
608/2021,2021-10-18,2024-05-31,956.0
609/2021,2021-10-01,2024-05-31,973.0
611/2021,2021-10-01,2024-05-31,973.0
612/2021,2021-10-01,2024-05-31,973.0
613/2021,2021-09-27,2024-05-31,977.0
614/2021,2021-10-01,2024-05-31,973.0
615/2021,2021-10-04,2024-05-31,970.0
616/2021,2021-10-04,2024-05-31,970.0
618/2021,2021-10-08,2024-05-31,966.0
620/2021,2021-10-05,2024-05-31,969.0
621/2021,2021-10-05,2024-05-31,969.0
622/2021,2021-10-06,2024-05-31,968.0
623/2021,2021-10-04,2024-05-31,970.0
624/2021,2021-10-05,2024-05-31,969.0
625/2021,2021-10-05,2024-05-31,969.0
626/2021,2021-10-06,2024-05-31,968.0
752/2021,2021-11-11,2024-05-31,932.0
753/2021,2021-11-11,2024-05-31,932.0
754/2021,2021-11-11,2024-05-31,932.0
756/2021,2021-11-12,2024-05-31,931.0
761/2021,2021-11-15,2024-05-31,928.0
764/2021,2021-11-15,2024-05-31,928.0
765/2021,2021-11-15,2024-05-31,928.0
767/2021,2021-11-02,2024-05-31,941.0
769/2021,2021-11-17,2024-05-31,926.0
771/2021,2021-11-16,2024-05-31,927.0
772/2021,2021-11-16,2024-05-31,927.0
773/2021,2021-11-16,2024-05-31,927.0
774/2021,2021-11-16,2024-05-31,927.0
775/2022,2022-11-17,2024-05-31,561.0
777/2021,2021-11-17,2024-05-31,926.0
778/2021,2021-11-17,2024-05-31,926.0
779/2021,2021-11-17,2024-05-31,926.0
782/2021,2021-12-01,2024-05-31,912.0
783/2021,2021-11-18,2024-05-31,925.0
784/2021,2021-11-18,2024-05-31,925.0
785/2021,2021-11-18,2024-05-31,925.0
786/2021,2021-11-18,2024-05-31,925.0
789/2021,2021-11-19,2024-05-31,924.0
790/2021,,2024-05-31,
791/2021,2021-11-19,2024-05-31,924.0
793/2021,2021-11-19,2024-05-31,924.0
794/2021,2021-11-22,2024-05-31,921.0
795/2021,2021-11-22,2024-05-31,921.0
796/2021,2021-11-11,2024-05-31,932.0
798/2021,2021-11-23,2024-05-31,920.0
799/2021,2021-11-23,2024-05-31,920.0
802/2021,2021-11-23,2024-05-31,920.0
803/2021,2021-11-23,2024-05-31,920.0
805/2021,2021-11-23,2024-05-31,920.0
806/2021,2021-11-23,2024-05-31,920.0
807/2021,2021-11-23,2024-05-31,920.0
808/2021,2021-11-24,2024-05-31,919.0
809/2021,2021-11-25,2024-05-31,918.0
811/2021,2021-11-24,2024-05-31,919.0
812/2021,2021-11-24,2024-05-31,919.0
192/2021,2021-03-03,2024-05-31,1185.0
193/2021,2021-03-03,2024-05-31,1185.0
195/2021,2021-03-04,2024-05-31,1184.0
197/2021,2021-03-04,2024-05-31,1184.0
199/2021,2021-03-04,2024-05-31,1184.0
200/2021,2021-03-04,2024-05-31,1184.0
201/2021,2021-03-04,2024-05-31,1184.0
202/2021,2021-03-05,2024-05-31,1183.0
204/2021,2021-03-05,2024-05-31,1183.0
205/2021,2021-03-05,2024-05-31,1183.0
206/2021,2021-03-05,2024-05-31,1183.0
291/2021,2021-03-31,2024-05-31,1157.0
292/2021,2021-04-01,2024-05-31,1156.0
294/2021,2021-04-01,2024-05-31,1156.0
295/2021,2021-04-01,2024-05-31,1156.0
E154/2022,2022-02-09,2024-05-31,842.0
E161/2022,2022-02-09,2024-05-31,842.0
E162/2022,2022-02-17,2024-05-31,834.0
E071/2022,2022-01-26,2024-05-31,856.0
E072/2022,2022-01-03,2024-05-31,879.0
E073/2022,2022-01-20,2024-05-31,862.0
E076/2022,2022-01-21,2024-05-31,861.0
E077/2022,2022-01-21,2024-05-31,861.0
E078/2022,2022-01-21,2024-05-31,861.0
E079/2022,2022-01-21,2024-05-31,861.0
E080/2022,2022-01-31,2024-05-31,851.0
E081/2022,2022-01-24,2024-05-31,858.0
E083/2022,2022-01-24,2024-05-31,858.0
E085/2022,2022-01-26,2024-05-31,856.0
E086/2022,2022-01-25,2024-05-31,857.0
E087/2022,2022-01-25,2024-05-31,857.0
E088/2022,2022-01-25,2024-05-31,857.0
E089/2022,2022-01-25,2024-05-31,857.0
E090/2022,2022-01-26,2024-05-31,856.0
E091/2022,2022-01-26,2024-05-31,856.0
E092/2022,2022-01-26,2024-05-31,856.0
E094/2022,2022-01-25,2024-05-31,857.0
E095/2022,2022-01-27,2024-05-31,855.0
E207/2022,2022-02-17,2024-05-31,834.0
E172/2022,2022-02-11,2024-05-31,840.0
E176/2022,2022-02-11,2024-05-31,840.0
E177/2022,2022-02-11,2024-05-31,840.0
E178/2022,2022-02-14,2024-05-31,837.0
E179/2022,2022-02-14,2024-05-31,837.0
E184/2022,2022-02-14,2024-05-31,837.0
E185/2022,2022-02-14,2024-05-31,837.0
E189/2022,2022-02-15,2024-05-31,836.0
E193/2022,2022-02-15,2024-05-31,836.0
E196/2022,2022-02-16,2024-05-31,835.0
E199/2022,2022-03-24,2024-05-31,799.0
E201/2022,2022-02-17,2024-05-31,834.0
E202/2022,2022-02-17,2024-05-31,834.0
E203/2022,2022-02-17,2024-05-31,834.0
E241/2022,2022-03-02,2024-05-31,821.0
E243/2022,2022-03-02,2024-05-31,821.0
E244/2022,2022-03-03,2024-05-31,820.0
E247/2022,2022-03-02,2024-05-31,821.0
E248/2022,2022-03-02,2024-05-31,821.0
E283/2022,2022-03-09,2024-05-31,814.0
E284/2022,2022-03-09,2024-05-31,814.0
E285/2022,2022-03-10,2024-05-31,813.0
E287/2022,2022-03-10,2024-05-31,813.0
E288/2022,2022-03-10,2024-05-31,813.0
E638/2022,2022-06-16,2024-05-31,715.0
E642/2022,2022-06-16,2024-05-31,715.0
E643/2022,2022-06-16,2024-05-31,715.0
E645/2022,2022-06-16,2024-05-31,715.0
E667/2022,2022-06-23,2024-05-31,708.0
E668/2022,2022-06-23,2024-05-31,708.0
E669/2022,2022-06-23,2024-05-31,708.0
E670/2022,2022-06-24,2024-05-31,707.0
E679/2022,2022-06-29,2024-05-31,702.0
E680/2022,2022-06-29,2024-05-31,702.0
E681/2022,2022-06-01,2024-05-31,730.0
E832/2022,2022-08-04,2024-05-31,666.0
E833/2022,2022-09-27,2024-05-31,612.0
E834/2022,2022-08-02,2024-05-31,668.0
E835/2022,2022-08-03,2024-05-31,667.0
E837/2022,2022-08-04,2024-05-31,666.0
E838/2022,2022-08-02,2024-05-31,668.0
E839/2022,2022-08-04,2024-05-31,666.0
E840/2022,2022-08-04,2024-05-31,666.0
E841/2022,2022-08-04,2024-05-31,666.0
E842/2022,2022-08-05,2024-05-31,665.0
E843/2022,2022-08-15,2024-05-31,655.0
E844/2022,2022-08-15,2024-05-31,655.0
E845/2022,2022-08-05,2024-05-31,665.0
E852/2022,2022-08-08,2024-05-31,662.0
E853/2022,2022-08-08,2024-05-31,662.0
E854/2022,2022-08-08,2024-05-31,662.0
E790/2022,2022-07-25,2024-05-31,676.0
E791/2022,2022-07-26,2024-05-31,675.0
E1135/2022,2022-10-19,2024-05-31,590.0
