Day ,Month,Year,Case type,No,Day,Month.1,Year.1,Day.1,Month.2,Year.2,Outcome,Day.2,Month.3,Year.3,(Enter free text),Audit Date,Registered,Date_Last_in_Court,Code/Year,Age of File,age_category
31,5,2024,RRC,E1433,25,9,2023,25,1,2024,Closed ,,,,Closed,2024-05-31,2023-09-25,2024-01-25,E1433/2023,0.6817388447401383,Less than 1 year
31,5,2024,RRC,E1435,26,9,2023,14,12,2023,Active,,,,Needs next date,2024-05-31,2023-09-26,2023-12-14,E1435/2023,0.6790009377331498,Less than 1 year
31,5,2024,RRC,E1436,27,9,2023,2,11,2023,Active,,,,Needs next date,2024-05-31,2023-09-27,2023-11-02,E1436/2023,0.6762630307261613,Less than 1 year
31,5,2024,RRC,E1438,26,9,2023,14,12,2023,Closed,,,,Recommended for closure CTS,2024-05-31,2023-09-26,2023-12-14,E1438/2023,0.6790009377331498,Less than 1 year
31,5,2024,RRC,E1434,25,9,2023,29,2,2024,Closed,,,,Recommended for closure CTS,2024-05-31,2023-09-25,2024-02-29,E1434/2023,0.6817388447401383,Less than 1 year
31,5,2024,RRC,E1439,26,9,2023,8,2,2024,Closed,,,,Closed ,2024-05-31,2023-09-26,2024-02-08,E1439/2023,0.6790009377331498,Less than 1 year
31,5,2024,RRC,E1442,27,9,2023,8,2,2024,Active,,,,Needs next date,2024-05-31,2023-09-27,2024-02-08,E1442/2023,0.6762630307261613,Less than 1 year
31,5,2024,RRC,E1443,26,9,2023,28,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-26,2024-02-28,E1443/2023,0.6790009377331498,Less than 1 year
31,5,2024,RRC,E1444,27,9,2023,29,2,2024,Closed,,,,Recommended for closure CTS,2024-05-31,2023-09-27,2024-02-29,E1444/2023,0.6762630307261613,Less than 1 year
31,5,2024,RRC,E1446,26,9,2023,2,10,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-26,2023-10-02,E1446/2023,0.6790009377331498,Less than 1 year
31,5,2024,RRC,E1449,31,8,2023,29,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-08-31,2023-09-29,E1449/2023,0.7501865199148511,Less than 1 year
31,5,2024,RRC,E1456,29,9,2023,23,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-29,2024-01-23,E1456/2023,0.6707872167121843,Less than 1 year
31,5,2024,RRC,E1458,29,9,2023,27,2,2024,Closed,,,,Closed,2024-05-31,2023-09-29,2024-02-27,E1458/2023,0.6707872167121843,Less than 1 year
31,5,2024,RRC,E1459,29,9,2023,8,2,2024,Active,,,,Active,2024-05-31,2023-09-29,2024-02-08,E1459/2023,0.6707872167121843,Less than 1 year
31,5,2024,RRC,E1460,2,10,2023,6,10,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-10-02,2023-10-06,E1460/2023,0.6625734956912188,Less than 1 year
31,5,2024,RRC,E1462,2,10,2023,3,10,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-10-02,2023-10-03,E1462/2023,0.6625734956912188,Less than 1 year
31,5,2024,RRC,E1463,3,10,2023,4,10,2023,Closed,,,,Recommended for closure CTS,2024-05-31,2023-10-03,2023-10-04,E1463/2023,0.6598355886842303,Less than 1 year
31,5,2024,RRC,E1465,3,10,2023,5,12,2023,Closed,,,,Closed,2024-05-31,2023-10-03,2023-12-05,E1465/2023,0.6598355886842303,Less than 1 year
31,5,2024,RRC,E1467,3,10,2023,5,12,2023,Closed,,,,Recommended for closure CTS,2024-05-31,2023-10-03,2023-12-05,E1467/2023,0.6598355886842303,Less than 1 year
31,5,2024,RRC,E1429,25,9,2023,26,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-25,2023-09-26,E1429/2023,0.6817388447401383,Less than 1 year
31,5,2024,RRC,E1540,18,10,2023,15,2,2024,Closed,,,,Closed ,2024-05-31,2023-10-18,2024-02-15,E1540/2023,0.6187669835794027,Less than 1 year
31,5,2024,RRC,E1542,18,10,2023,14,11,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-10-18,2023-11-14,E1542/2023,0.6187669835794027,Less than 1 year
31,5,2024,RRC,E1545,13,12,2023,13,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-13,2023-12-13,E1545/2023,0.4654441911880463,Less than 1 year
31,5,2024,RRC,E1392,15,9,2023,18,9,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-18,E1392/2023,0.7091179148100235,Less than 1 year
31,5,2024,RRC,E1393,15,9,2023,22,9,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-22,E1393/2023,0.7091179148100235,Less than 1 year
31,5,2024,RRC,E1541,16,10,2023,7,2,2024,Closed ,,,,Recommended for closure CTS,2024-05-31,2023-10-16,2024-02-07,E1541/2023,0.6242427975933798,Less than 1 year
31,5,2024,RRC,E1394,15,9,2023,22,9,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-22,E1394/2023,0.7091179148100235,Less than 1 year
31,5,2024,RRC,E1396,18,9,2023,22,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-18,2023-09-22,E1396/2023,0.700904193789058,Less than 1 year
31,5,2024,RRC,E1430,25,9,2023,29,2,2024,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-09-25,2024-02-29,E1430/2023,0.6817388447401383,Less than 1 year
31,5,2024,RRC,E1431,25,9,2023,26,9,2023,Active:Parties to take date at registry,,,,Needs next date,2024-05-31,2023-09-25,2023-09-26,E1431/2023,0.6817388447401383,Less than 1 year
31,5,2024,RRC,E1875,14,12,2023,14,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-14,E1875/2023,0.4627062841810578,Less than 1 year
31,5,2024,RRC,E1876,14,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-15,E1876/2023,0.4627062841810578,Less than 1 year
31,5,2024,RRC,E1877,14,12,2023,22,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2024-01-22,E1877/2023,0.4627062841810578,Less than 1 year
31,5,2024,RRC,E1878,14,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-15,E1878/2023,0.4627062841810578,Less than 1 year
31,5,2024,RRC,E1882,14,12,2023,28,2,2023,Closed,,,,Closed,2024-05-31,2023-12-14,2023-02-28,E1882/2023,0.4627062841810578,Less than 1 year
31,5,2024,RRC,E1884,15,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-15,2023-12-15,E1884/2023,0.4599683771740693,Less than 1 year
31,5,2024,RRC,E1891,15,12,2023,18,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-15,2023-12-18,E1891/2023,0.4599683771740693,Less than 1 year
31,5,2024,RRC,E1889,15,12,2023,3,4,2024,Closed,,,,Closed,2024-05-31,2023-12-15,2024-04-03,E1889/2023,0.4599683771740693,Less than 1 year
31,5,2024,RRC,E1888,15,12,2023,15,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-15,2023-12-15,E1888/2023,0.4599683771740693,Less than 1 year
31,5,2024,RRC,E1892,18,12,2023,18,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-18,E1892/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,E1894,18,12,2023,15,1,2024,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2024-01-15,E1894/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,E1895,18,12,2023,18,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-18,2023-12-18,E1895/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,E1896,18,12,2023,20,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-20,E1896/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,E1897,18,12,2023,3,4,2023,Closed,,,,Closed,2024-05-31,2023-12-18,2023-04-03,E1897/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,E1898,18,12,2023,19,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-18,2023-12-19,E1898/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,1899,18,12,2023,3,4,2024,Closed,,,,Closed,2024-05-31,2023-12-18,2024-04-03,1899/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,1904,18,12,2023,19,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-19,1904/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,1908,18,12,2023,12,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-12,1908/2023,0.45175465615310373,Less than 1 year
31,5,2024,RRC,1910,19,12,2023,19,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2023-12-19,1910/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,1911,19,12,2023,27,2,2024,Closed,,,,Closed,2024-05-31,2023-12-19,2024-02-27,1911/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,1912,19,12,2023,19,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-19,2023-12-19,1912/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,1913,20,12,2023,20,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-20,2023-12-20,1913/2023,0.4462788421391267,Less than 1 year
31,5,2024,RRC,1917,19,12,2023,20,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-19,2023-12-20,1917/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,1920,19,12,2023,10,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2024-01-10,1920/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,E1915,19,12,2023,20,12,2023,Closed ,,,,Closed ,2024-05-31,2023-12-19,2023-12-20,E1915/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,E1919,19,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2023-12-21,E1919/2023,0.4490167491461152,Less than 1 year
31,5,2024,RRC,E1927,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1927/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,E1926,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1926/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,E1928,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1928/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,E1929,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1929/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,1931,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,1931/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,1932,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,1932/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,1937,21,12,2023,29,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-29,1937/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,1940,21,12,2023,14,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2024-02-14,1940/2023,0.4435409351321382,Less than 1 year
31,5,2024,RRC,1944,22,12,2023,27,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-22,2023-12-27,1944/2023,0.4408030281251497,Less than 1 year
31,5,2024,RRC,1945,22,12,2023,15,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-22,2024-02-15,1945/2023,0.4408030281251497,Less than 1 year
31,5,2024,RRC,1947,27,12,2023,8,1,2024,Active:Interparty hearingwithin 14 days,,,,Needs next date,2024-05-31,2023-12-27,2024-01-08,1947/2023,0.4271134930902072,Less than 1 year
31,5,2024,RRC,1950,27,12,2023,28,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-27,2023-12-28,1950/2023,0.4271134930902072,Less than 1 year
31,5,2024,RRC,1951,28,12,2023,17,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-28,2024-01-17,1951/2023,0.4243755860832187,Less than 1 year
31,5,2024,RRC,1956,29,12,2023,29,1,2024,Closed,,,,Recommended for closure CTS,2024-05-31,2023-12-29,2024-01-29,1956/2023,0.4216376790762302,Less than 1 year
