Day ,Month,Year,Case type,No,Day,Month.1,Year.1,Day.1,Month.2,Year.2,Outcome,Day.2,Month.3,Year.3,(Enter free text),Audit Date,Registered,Date_Last_in_Court,Code/Year,Age of File,age_category
31,5,2024,RRC,202,6,9,2007,14,3,2009,Closed,,,,Recommended for closure CTS,2024-05-31,2007-09-06,2009-03-14,202/2007,16.73408762671376,Over 3
31,5,2024,RRC,259,14,4,2007,9,4,2008,Closed,,,,Recommended for closure CTS,2024-05-31,2007-04-14,2008-04-09,259/2007,17.131084142727094,Over 3
31,5,2024,RRC,212,20,9,2007,14,3,2019,Closed,,,,Recommended for closure CTS,2024-05-31,2007-09-20,2019-03-14,212/2007,16.695756928615918,Over 3
31,5,2024,RRC,219,25,7,2007,26,2,2009,Active,,,,Recommended for dismissal,2024-05-31,2007-07-25,2009-02-26,219/2007,16.851817628014263,Over 3
31,5,2024,RRC,218,25,9,2007,9,10,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-25,2007-10-09,218/2007,16.682067393580976,Over 3
31,5,2024,RRC,217,21,9,2007,9,10,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-21,2007-10-09,217/2007,16.69301902160893,Over 3
31,5,2024,RRC,213,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,213/2007,16.695756928615918,Over 3
31,5,2024,RRC,214,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,214/2007,16.695756928615918,Over 3
31,5,2024,RRC,215,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,215/2007,16.695756928615918,Over 3
31,5,2024,RRC,203,13,9,2007,31,10,2007,Dismissed,,,,Recommended for closure CTS,2024-05-31,2007-09-13,2007-10-31,203/2007,16.71492227766484,Over 3
31,5,2024,RRC,195,27,8,2007,7,11,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-08-27,2007-11-07,195/2007,16.761466696783643,Over 3
31,5,2024,RRC,190,3,10,2007,15,7,2008,Active,,,,Recommended for dismissal,2024-05-31,2007-10-03,2008-07-15,190/2007,16.66016413752507,Over 3
31,5,2024,RRC,232,16,10,2007,14,11,2012,Active:Interparty hearing14 days,,,,Recommended for dismissal,2024-05-31,2007-10-16,2012-11-14,232/2007,16.62457134643422,Over 3
