Day ,Month,Year,Case type,No,Day,Month.1,Year.1,Day.1,Month.2,Year.2,Outcome,Day.2,Month.3,Year.3,(Enter free text),Audit Date,Registered,Date_Last_in_Court,Code/Year
31,5,2024,RRC,219,25,7,2007,26,2,2009,Active,,,,Recommended for dismissal,2024-05-31,2007-07-25,2009-02-26,219/2007
31,5,2024,RRC,218,25,9,2007,9,10,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-25,2007-10-09,218/2007
31,5,2024,RRC,217,21,9,2007,9,10,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-21,2007-10-09,217/2007
31,5,2024,RRC,213,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,213/2007
31,5,2024,RRC,214,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,214/2007
31,5,2024,RRC,215,20,9,2007,6,2,2008,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-09-20,2008-02-06,215/2007
31,5,2024,RRC,195,27,8,2007,7,11,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-08-27,2007-11-07,195/2007
31,5,2024,RRC,190,3,10,2007,15,7,2008,Active,,,,Recommended for dismissal,2024-05-31,2007-10-03,2008-07-15,190/2007
31,5,2024,RRC,232,16,10,2007,14,11,2012,Active:Interparty hearing14 days,,,,Recommended for dismissal,2024-05-31,2007-10-16,2012-11-14,232/2007
31,5,2024,RRC,254,27,11,2007,29,1,2009,Active,,,,Recommended for dismissal,2024-05-31,2007-11-27,2009-01-29,254/2007
31,5,2024,RRC,254A,4,12,2007,6,12,2007,Active:Hg on 15/1/2008,,,,Recommended for dismissal,2024-05-31,2007-12-04,2007-12-06,254A/2007
31,5,2024,RRC,271,14,12,2007,14,12,2007,Active:Interparty hearingwithin 14 days,,,,Recommended for dismissal,2024-05-31,2007-12-14,2007-12-14,271/2007
31,5,2024,RRC,125,11,5,2007,4,5,2010,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-05-11,2010-05-04,125/2007
31,5,2024,RRC,25,2,2,2007,11,7,2007,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2007-02-02,2007-07-11,25/2007
31,5,2024,RRC,82,11,7,2007,5,5,2010,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2007-07-11,2010-05-05,82/2007
31,5,2024,RRC,E1435,26,9,2023,14,12,2023,Active,,,,Needs next date,2024-05-31,2023-09-26,2023-12-14,E1435/2023
31,5,2024,RRC,E1436,27,9,2023,2,11,2023,Active,,,,Needs next date,2024-05-31,2023-09-27,2023-11-02,E1436/2023
31,5,2024,RRC,E1442,27,9,2023,8,2,2024,Active,,,,Needs next date,2024-05-31,2023-09-27,2024-02-08,E1442/2023
31,5,2024,RRC,E1443,26,9,2023,28,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-26,2024-02-28,E1443/2023
31,5,2024,RRC,E1446,26,9,2023,2,10,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-26,2023-10-02,E1446/2023
31,5,2024,RRC,E1449,31,8,2023,29,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-08-31,2023-09-29,E1449/2023
31,5,2024,RRC,E1456,29,9,2023,23,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-29,2024-01-23,E1456/2023
31,5,2024,RRC,E1459,29,9,2023,8,2,2024,Active,,,,Active,2024-05-31,2023-09-29,2024-02-08,E1459/2023
31,5,2024,RRC,E1460,2,10,2023,6,10,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-10-02,2023-10-06,E1460/2023
31,5,2024,RRC,E1462,2,10,2023,3,10,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-10-02,2023-10-03,E1462/2023
31,5,2024,RRC,E1429,25,9,2023,26,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-25,2023-09-26,E1429/2023
31,5,2024,RRC,E1542,18,10,2023,14,11,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-10-18,2023-11-14,E1542/2023
31,5,2024,RRC,E1545,13,12,2023,13,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-13,2023-12-13,E1545/2023
31,5,2024,RRC,E1392,15,9,2023,18,9,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-18,E1392/2023
31,5,2024,RRC,E1393,15,9,2023,22,9,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-22,E1393/2023
31,5,2024,RRC,E1394,15,9,2023,22,9,2023,Active:Plantiff to Take date at registry after 60 days,,,,Needs next date,2024-05-31,2023-09-15,2023-09-22,E1394/2023
31,5,2024,RRC,E1396,18,9,2023,22,9,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-09-18,2023-09-22,E1396/2023
31,5,2024,RRC,E1430,25,9,2023,29,2,2024,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-09-25,2024-02-29,E1430/2023
31,5,2024,RRC,E1431,25,9,2023,26,9,2023,Active:Parties to take date at registry,,,,Needs next date,2024-05-31,2023-09-25,2023-09-26,E1431/2023
31,5,2024,RRC,E1875,14,12,2023,14,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-14,E1875/2023
31,5,2024,RRC,E1876,14,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-15,E1876/2023
31,5,2024,RRC,E1877,14,12,2023,22,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2024-01-22,E1877/2023
31,5,2024,RRC,E1878,14,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-14,2023-12-15,E1878/2023
31,5,2024,RRC,E1884,15,12,2023,15,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-15,2023-12-15,E1884/2023
31,5,2024,RRC,E1891,15,12,2023,18,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-15,2023-12-18,E1891/2023
31,5,2024,RRC,E1888,15,12,2023,15,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-15,2023-12-15,E1888/2023
31,5,2024,RRC,E1892,18,12,2023,18,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-18,E1892/2023
31,5,2024,RRC,E1894,18,12,2023,15,1,2024,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2024-01-15,E1894/2023
31,5,2024,RRC,E1895,18,12,2023,18,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-18,2023-12-18,E1895/2023
31,5,2024,RRC,E1896,18,12,2023,20,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-20,E1896/2023
31,5,2024,RRC,E1898,18,12,2023,19,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-18,2023-12-19,E1898/2023
31,5,2024,RRC,1904,18,12,2023,19,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-19,1904/2023
31,5,2024,RRC,1908,18,12,2023,12,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-18,2023-12-12,1908/2023
31,5,2024,RRC,1910,19,12,2023,19,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2023-12-19,1910/2023
31,5,2024,RRC,1912,19,12,2023,19,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-19,2023-12-19,1912/2023
31,5,2024,RRC,1913,20,12,2023,20,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-20,2023-12-20,1913/2023
31,5,2024,RRC,1917,19,12,2023,20,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-19,2023-12-20,1917/2023
31,5,2024,RRC,1920,19,12,2023,10,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2024-01-10,1920/2023
31,5,2024,RRC,E1919,19,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-19,2023-12-21,E1919/2023
31,5,2024,RRC,E1927,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1927/2023
31,5,2024,RRC,E1926,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1926/2023
31,5,2024,RRC,E1928,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1928/2023
31,5,2024,RRC,E1929,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,E1929/2023
31,5,2024,RRC,1931,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,1931/2023
31,5,2024,RRC,1932,21,12,2023,21,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-21,1932/2023
31,5,2024,RRC,1937,21,12,2023,29,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2023-12-29,1937/2023
31,5,2024,RRC,1940,21,12,2023,14,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-21,2024-02-14,1940/2023
31,5,2024,RRC,1944,22,12,2023,27,12,2023,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-22,2023-12-27,1944/2023
31,5,2024,RRC,1945,22,12,2023,15,2,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-22,2024-02-15,1945/2023
31,5,2024,RRC,1947,27,12,2023,8,1,2024,Active:Interparty hearingwithin 14 days,,,,Needs next date,2024-05-31,2023-12-27,2024-01-08,1947/2023
31,5,2024,RRC,1950,27,12,2023,28,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-27,2023-12-28,1950/2023
31,5,2024,RRC,1951,28,12,2023,17,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-12-28,2024-01-17,1951/2023
31,5,2024,RRC,1958,29,12,2023,12,1,2024,Active:Plantiff to Take date at registry after 14 days,,,,Needs next date,2024-05-31,2023-12-29,2024-01-12,1958/2023
31,5,2024,RRC,150,8,2,2022,14,11,2022,Active- plantiff to take next date in court ,,,,Recommended for dismissal,2024-05-31,2022-02-08,2022-11-14,150/2022
31,5,2024,RRC,153,8,2,2022,10,2,2022,Activehearing within 30 days ,,,,Recommended for dismissal,2024-05-31,2022-02-08,2022-02-10,153/2022
31,5,2024,RRC,96,27,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-03-01,96/2022
31,5,2024,RRC,97,27,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-03-01,97/2022
31,5,2024,RRC,100,28,1,2022,1,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-28,2022-03-01,100/2022
31,5,2024,RRC,101,27,1,2022,14,9,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-27,2022-09-14,101/2022
31,5,2024,RRC,104,31,1,2022,2,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-01-31,2022-03-02,104/2022
31,5,2024,RRC,108,31,1,2022,23,3,2022,Active,,,,Active,2024-05-31,2022-01-31,2022-03-23,108/2022
31,5,2024,RRC,109,28,1,2022,1,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-28,2022-02-01,109/2022
31,5,2024,RRC,113,1,2,2022,18,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-03-18,113/2022
31,5,2024,RRC,114,1,2,2022,2,2,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-02-02,114/2022
